date,home_team_abbr,away_team_abbr,home_ml,away_ml
2022-04-15T23:07:00+00:00,TOR,OAK,-205,172
2022-04-15T23:10:00+00:00,CLE,SFG,124,-146
2022-04-15T23:10:00+00:00,CHW,TBR,-142,120
2022-04-16T00:05:00+00:00,TEX,LAA,100,-118
2022-04-16T00:10:00+00:00,MIL,STL,-215,164
2022-04-16T00:10:00+00:00,KCR,DET,-132,112
2022-04-16T00:40:00+00:00,COL,CHC,-132,112
2022-04-16T01:40:00+00:00,SDP,ATL,-128,102
2022-04-16T01:42:00+00:00,SEA,HOU,-104,-122
2022-04-16T02:10:00+00:00,LAD,CIN,-310,225
2022-04-16T17:10:00+00:00,NYM,ARI,-168,142
2022-04-16T18:10:00+00:00,CHW,TBR,-122,-106
2022-04-16T19:07:00+00:00,TOR,OAK,-220,184
2022-04-16T20:05:00+00:00,SDP,ATL,-112,-104
2022-04-16T20:10:00+00:00,KCR,DET,-166,140
2022-04-16T20:10:00+00:00,BOS,MIN,-152,128
2022-04-16T22:10:00+00:00,MIA,PHI,-150,118
2022-04-16T22:10:00+00:00,CLE,SFG,-112,-104
2022-04-16T22:35:00+00:00,PIT,WSN,-128,100
2022-04-16T23:05:00+00:00,BAL,NYY,156,-186
2022-04-16T23:05:00+00:00,TEX,LAA,108,-126
2022-04-16T23:10:00+00:00,MIL,STL,-186,146
2022-04-17T00:10:00+00:00,COL,CHC,-116,-102
2022-04-17T01:10:00+00:00,SEA,HOU,104,-132
2022-04-17T02:10:00+00:00,LAD,CIN,-230,190
2022-04-17T17:05:00+00:00,BAL,NYY,152,-196
2022-04-17T17:35:00+00:00,BOS,MIN,-134,114
2022-04-17T17:35:00+00:00,PIT,WSN,108,-126
2022-04-17T17:37:00+00:00,TOR,OAK,-270,200
2022-04-17T17:40:00+00:00,NYM,ARI,-210,176
2022-04-17T17:40:00+00:00,CLE,SFG,108,-126
2022-04-17T17:40:00+00:00,MIA,PHI,130,-154
2022-04-17T18:10:00+00:00,KCR,DET,-136,116
2022-04-17T18:10:00+00:00,CHW,TBR,-116,-102
2022-04-17T18:10:00+00:00,MIL,STL,-142,120
2022-04-17T18:35:00+00:00,TEX,LAA,-110,-106
2022-04-17T19:10:00+00:00,COL,CHC,-132,112
2022-04-17T20:10:00+00:00,SEA,HOU,-102,-116
2022-04-17T20:10:00+00:00,LAD,CIN,-225,188
2022-04-17T23:08:00+00:00,SDP,ATL,-138,108
2022-04-18T15:10:00+00:00,BOS,MIN,-152,128
2022-04-18T22:10:00+00:00,CLE,CHW,-142,120
2022-04-18T23:05:00+00:00,WSN,ARI,-148,126
2022-04-18T23:10:00+00:00,NYM,SFG,-120,102
2022-04-18T23:40:00+00:00,CHC,TBR,126,-148
2022-04-18T23:40:00+00:00,MIL,PIT,-200,154
2022-04-19T00:10:00+00:00,HOU,LAA,-146,124
2022-04-19T00:40:00+00:00,COL,PHI,140,-166
2022-04-19T01:40:00+00:00,SDP,CIN,-198,166
2022-04-19T01:40:00+00:00,OAK,BAL,-196,164
2022-04-19T02:10:00+00:00,LAD,ATL,-230,190
2022-04-19T19:10:00+00:00,NYM,SFG,-140,110
2022-04-19T22:10:00+00:00,CLE,CHW,-144,122
2022-04-19T22:40:00+00:00,MIA,STL,-104,-112
2022-04-19T22:40:00+00:00,DET,NYY,184,-220
2022-04-19T23:05:00+00:00,WSN,ARI,-130,110
2022-04-19T23:10:00+00:00,BOS,TOR,-154,130
2022-04-19T23:40:00+00:00,MIL,PIT,-270,220
2022-04-19T23:40:00+00:00,CHC,TBR,112,-132
2022-04-20T00:10:00+00:00,HOU,LAA,-166,140
2022-04-20T00:10:00+00:00,KCR,MIN,104,-122
2022-04-20T00:40:00+00:00,COL,PHI,120,-142
2022-04-20T01:40:00+00:00,SDP,CIN,-215,180
2022-04-20T01:40:00+00:00,OAK,BAL,-120,102
2022-04-20T01:40:00+00:00,SEA,TEX,-146,124
